,item_id,NP,Oblig,Error,ErType,ErType2,definiteness,ref,Hawkins,HeadN,Abstract,Rev_abstr,modif,Score,Target_the,Target_zero,NL_Korean,NL_Mandarin,NL_Russian,Ntype_plural,Ntype_sing,Synt_obj,Synt_predprop,Synt_sub
24613,24614,"Walking along the street in the univ , I came across a friend of mine and chatted for a while , over lunch .",obl,correct,correct_a,correct_art,indef,spec,indef,friend,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24615,24616,"Walking along the street in the univ , I came across a friend of mine and chatted for a while , over lunch .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,lunch,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
24629,24630,In Japan we ca n't watch them a lot on TV .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,TV,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
24636,24637,"Now , I saw very cute animal .",obl,error,omit_a,omit,indef,spec,indef,animal,concr,concr,mod,0,False,False,False,False,False,False,True,True,False,False
24638,24639,"This month , Takeshi Kitano who 's a Japanese film director was conferred a decoration by the french government .",obl,correct,correct_a,correct_art,indef,spec,indef,decoration,concr,concr,no_mod,1,False,False,False,False,False,False,False,True,False,False
24640,24641,"Anyway , I 'm glad to recognized Japanese culture in the world .",obl,correct,correct_the,correct_art,def,spec,situational,world,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24644,24645,It 's a vountary service to teach science with English to Africa middle school student . ),obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,science,abstr,abstr,no_mod,1,False,True,True,False,False,False,False,True,False,False
24646,24647,I was notified that pass the 1st screen after 15 days from the day of application .,obl,correct,correct_the,correct_art,def,spec,explanatory,day,concr,concr,no_mod,1,True,False,True,False,False,False,True,True,False,False
24647,24648,The staff of KOICA center told me,obl,correct,correct_the,correct_art,def,spec,explanatory,staff,concr,concr,no_mod,1,True,False,True,False,False,False,False,False,False,True
24650,24651,"So , Today , I went to center for a phtsical examination .",obl,correct,correct_a,correct_art,indef,spec,indef,examination,concr,concr,mod,1,False,False,True,False,False,False,True,True,False,False
24651,24652,There is a final result at 20 .,obl,correct,correct_a,correct_art,indef,spec,indef,result,abstr,abstr,mod,1,False,False,True,False,False,False,True,False,False,True
24657,24658,I have no team but have unit .,obl,error,omit_a,omit,indef,nonspec,indef,unit,concr,concr,no_mod,0,False,False,False,False,False,False,True,True,False,False
24658,24659,It made of same age dancers .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,dancers,concr,concr,mod,1,False,True,False,False,False,False,False,True,False,False
24659,24660,I 'll entry a dance battle that takes place in Feb .,obl,correct,correct_a,correct_art,indef,spec,indef,battle,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24662,24663,Where are they ? Do n't they prepare breakfast for me ? I feel a little hungry ~ I do n't wanna eat apples .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,breakfast,concr,concr,no_mod,1,False,True,False,True,False,False,False,True,False,False
24663,24664,Where are they ? Do n't they prepare breakfast for me ? I feel a little hungry ~ I do n't wanna eat apples .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,apples,concr,concr,no_mod,1,False,True,False,True,False,False,False,True,False,False
24664,24665,"In my college , almost the teachers are foreigners and I have a korean classmate .",obl,correct,correct_the,correct_art,def,spec,situational,teachers,concr,concr,no_mod,1,True,False,False,True,False,False,False,False,False,True
24665,24666,"In my college , almost the teachers are foreigners and I have a korean classmate .",obl,correct,correct_a,correct_art,indef,spec,indef,classmate,concr,concr,mod,1,False,False,False,True,False,False,False,True,False,False
24667,24668,"but I kinda feel like writing something I 've been pondering for people to read , so here we go !",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,False,False,True
24668,24669,"What is actually impressive is the role social media tools , such as Facebook and twitter , are currently playing in the spreading of protests .",obl,correct,correct_the,correct_art,indef,nonspec,explanatory,tools,abstr,abstr,mod,1,True,False,False,False,False,False,False,False,False,True
24669,24670,"What is actually impressive is the role social media tools , such as Facebook and twitter , are currently playing in the spreading of protests .",obl,correct,correct_the,correct_art,def,spec,explanatory,spreading,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
24670,24671,"However , the rise of social media tools clearly raised public awareness of what was going on in the world and led them to take to the streets demanding what is truly valuable for them .",obl,correct,correct_the,correct_art,def,spec,explanatory,rise,concr,concr,no_mod,1,True,False,False,False,False,False,False,False,False,True
24671,24672,"However , the rise of social media tools clearly raised public awareness of what was going on in the world and led them to take to the streets demanding what is truly valuable for them .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,awareness,abstr,abstr,mod,1,False,True,False,False,False,False,False,True,False,False
24672,24673,"However , the rise of social media tools clearly raised public awareness of what was going on in the world and led them to take to the streets demanding what is truly valuable for them .",obl,correct,correct_the,correct_art,def,spec,situational,world,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24673,24674,"However , the rise of social media tools clearly raised public awareness of what was going on in the world and led them to take to the streets demanding what is truly valuable for them .",obl,correct,correct_the,correct_art,def,nonspec,situational,streets,concr,concr,no_mod,1,True,False,False,False,False,True,False,True,False,False
24674,24675,I 'm really impressed by the way the social media are being used now .,obl,correct,correct_the,correct_art,def,spec,explanatory,way,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24675,24676,A Japanese person who has been studying English for many years invented a ingenious way to increase his vocabulary .,obl,correct,correct_a,correct_art,indef,spec,indef,person,concr,concr,mod,1,False,False,False,False,False,False,True,False,False,True
24677,24678,A Japanese person who has been studying English for many years invented a ingenious way to increase his vocabulary .,obl_om,error,over_a,over,indef,spec,indef,way,abstr,abstr,mod,0,False,True,False,False,False,False,True,True,False,False
24679,24680,He checked every word in the dictionary and re - write all of the words he does n't know onto cards .,obl,correct,correct_the,correct_art,def,nonspec,situational,dictionary,abstr,abstr,no_mod,1,True,False,False,False,False,False,False,True,False,False
24680,24681,He checked every word in the dictionary and re - write all of the words he does n't know onto cards .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,cards,concr,concr,no_mod,1,False,True,False,False,False,True,False,True,False,False
24684,24685,I will go Canada for language study next month .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,study,abstr,abstr,no_mod,1,False,True,False,False,False,False,True,True,False,False
24685,24686,Birthrate is number that how many babies a woman gives birth to in her life .,obl,correct,correct_a,correct_art,indef,nonspec,indef,woman,concr,concr,no_mod,1,False,False,False,False,False,False,True,False,False,True
24692,24693,"In Holland , half babies are Islams now .",obl,error,omit_the,omit,indef,nonspec,indef,babies,concr,concr,no_mod,0,True,False,False,False,False,False,False,False,False,True
24696,24697,I feel a little depressed because I have to spend a whole day with them and take care of .,obl,correct,correct_a,correct_art,indef,nonspec,indef,day,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
24701,24702,I 'll prepare perfectly for the game .,obl,correct,correct_the,correct_art,def,nonspec,situational,game,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24706,24707,I thought I have to be on a diet : P Anyway I was looking for another seat but the bus was full of the students .,obl,correct,correct_a,correct_art,indef,spec,indef,diet,concr,concr,no_mod,1,False,False,True,False,False,False,False,True,False,False
24708,24709,I thought I have to be on a diet : P Anyway I was looking for another seat but the bus was full of the students .,obl,correct,correct_the,correct_art,def,spec,situational,bus,concr,concr,no_mod,1,True,False,True,False,False,False,True,False,False,True
24709,24710,I thought I have to be on a diet : P Anyway I was looking for another seat but the bus was full of the students .,obl,correct,correct_the,correct_art,def,spec,indef,students,concr,concr,no_mod,1,True,False,True,False,False,False,False,True,False,False
24711,24712,But I screwed up my courage and I started a conversation .,obl,correct,correct_a,correct_art,indef,spec,indef,conversation,concr,concr,no_mod,1,False,False,True,False,False,False,True,True,False,False
24712,24713,"Taking this opportunity , I gradually had the talk with him .",obl,error,sub_the_inst_a,error_art,def,spec,explanatory,talk,concr,concr,no_mod,0,False,False,True,False,False,False,True,True,False,False
24718,24719,"We studied English Verb System at the grammar class , and we wrote about us selves at the writing class , talked about us selves at the listening / speaking class .",obl_om,error,over_the,over,def,spec,situational,class,concr,concr,no_mod,0,False,True,False,False,False,False,True,True,False,False
24721,24722,"We studied English Verb System at the grammar class , and we wrote about us selves at the writing class , talked about us selves at the listening / speaking class .",obl_om,error,over_the,over,def,spec,situational,class,concr,concr,no_mod,0,False,True,False,False,False,False,True,True,False,False
24727,24728,"I want to buy a car , and take a license , so that I can back from school by any time .",obl,correct,correct_a,correct_art,indef,nonspec,indef,car,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24728,24729,"I want to buy a car , and take a license , so that I can back from school by any time .",obl,correct,correct_a,correct_art,indef,nonspec,indef,license,abstr,abstr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24734,24735,"I just watched them sitting on a chair , but when they 're finished I felt tired .",obl,correct,correct_a,correct_art,indef,spec,indef,chair,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24736,24737,"I had to finish to watch them by today because the date of return is today ; ( I 've got three DVDs yet , but I can rent them next Monday , so I do n't have to watch them right now : ) I think I 'll watch one DVD a day : D",obl,correct,correct_the,correct_art,def,spec,explanatory,date,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
24739,24740,"Today , we got a incident so that we have to analyze .",obl_om,error,over_a,over,indef,spec,indef,incident,abstr,abstr,no_mod,0,False,True,False,False,False,False,True,True,False,False
24743,24744,"The most important is no more same incident , and do n't blame too much the person who did it .",obl,correct,correct_the,correct_art,def,nonspec,explanatory,person,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24744,24745,"So , avoiding the feeling of loneliness , I am just getting started sutdying English !",obl,correct,correct_the,correct_art,def,spec,explanatory,feeling,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24745,24746,"I have heard that plastic bags are not so harmful for the environment , but after thinking this topic , I feel that I do not want to use them so much .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,bags,concr,concr,no_mod,1,False,True,False,False,False,False,False,False,False,True
24746,24747,"I have heard that plastic bags are not so harmful for the environment , but after thinking this topic , I feel that I do not want to use them so much .",obl,correct,correct_the,correct_art,def,nonspec,situational,environment,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24747,24748,"Because of soil pollution , threes can not take much nutrition from soil and die .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,pollution,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24748,24749,"Because of soil pollution , threes can not take much nutrition from soil and die .",obl,error,omit_the,omit,indef,nonspec,indef,soil,concr,concr,no_mod,0,True,False,False,False,False,False,False,True,False,False
24749,24750,"As an illustration , birds eat fragment of plastic bags by confusing plastic bags for plankton , and also they give their chicks the fragment of plastic bags .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,birds,concr,concr,no_mod,1,False,True,False,False,False,True,False,False,False,True
24750,24751,"As an illustration , birds eat fragment of plastic bags by confusing plastic bags for plankton , and also they give their chicks the fragment of plastic bags .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,bags,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24752,24753,"By continuing eating that , these birds and chicks suffocate or die of hunger .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,hunger,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24753,24754,Using plastic bags is absolutely connected with breaking ecosystem . ``,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,bags,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24754,24755,Using plastic bags is absolutely connected with breaking ecosystem . ``,obl,error,omit_a,omit,indef,nonspec,indef,ecosystem,abstr,abstr,mod,0,False,False,False,False,False,False,True,True,False,False
24756,24757,"after I read other people 's writing , I thought that I can write english composition .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,composition,abstr,abstr,mod,1,False,True,True,False,False,False,False,True,False,False
24757,24758,I will write journal to English to come every day .,obl,error,omit_a,omit,indef,nonspec,indef,journal,concr,concr,no_mod,0,False,False,True,False,False,False,True,True,False,False
24758,24759,"I 'm going to travel to China after a month , which made me to study Chinese .",obl,correct,correct_a,correct_art,indef,spec,indef,month,concr,concr,no_mod,1,False,False,True,False,False,False,True,True,False,False
24759,24760,I 'm majoring architecture .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,architecture,abstr,abstr,mod,1,False,True,True,False,False,False,False,True,False,False
24761,24762,But I think I had a hard time today ` s school .,obl,correct,correct_a,correct_art,indef,spec,indef,time,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
24763,24764,I played tennis today ` s after school .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,tennis,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24767,24768,That `` GW `` means the successive holidays at the beginning of May .,obl,correct,correct_the,correct_art,def,nonspec,explanatory,beginning,abstr,abstr,no_mod,1,True,False,False,True,False,False,False,True,False,False
24769,24770,Then many people take a trip to various places .,obl,correct,correct_a,correct_art,indef,nonspec,indef,trip,concr,concr,no_mod,1,False,False,False,True,False,False,True,True,False,False
24774,24775,I bought him a new snowboard jacket and pants as the birthday present .,obl,correct,correct_a,correct_art,indef,spec,indef,jacket,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
24776,24777,I went to a home appliance store to buy a computer memory for my laptop on my way home .,obl,correct,correct_a,correct_art,indef,spec,indef,store,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24777,24778,I went to a home appliance store to buy a computer memory for my laptop on my way home .,obl_om,error,over_a,over,indef,nonspec,indef,memory,abstr,abstr,no_mod,0,False,True,False,False,False,False,True,True,False,False
24779,24780,I will replace the laptop if I have much money .,obl,correct,correct_the,correct_art,def,nonspec,anaphoric,laptop,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24782,24783,"It likes a radio but moderator speaks English so slowly , and he picks difficult phrases with spelling and meanings .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,phrases,concr,concr,mod,1,False,True,False,False,False,False,False,True,False,False
24784,24785,maybe have little british accent . .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,accent,concr,concr,mod,1,False,True,True,False,False,False,True,True,False,False
24799,24800,"When I went in the office , a receptionist kindly took me upstairs in front",obl,correct,correct_the,correct_art,def,spec,situational,office,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24800,24801,"When I went in the office , a receptionist kindly took me upstairs in front",obl,error,sub_a_inst_the,error_art,indef,spec,indef,receptionist,concr,concr,no_mod,0,True,False,False,False,False,False,False,False,False,True
24801,24802,"Then things went smoothly , I guess , but I 'm worried about my superficial",obl_om,correct,correct_zero,correct_om,indef,spec,indef,things,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,False,False,True
24803,24804,Neapolitan spaghetti is a kind of spaghetti recipes which is seasoned with tomato pastes such as ketchups .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,pastes,concr,concr,no_mod,1,False,True,False,False,False,True,False,True,False,False
24804,24805,"So , he created the recipe which allows to combine them .",obl,correct,correct_the,correct_art,def,spec,situational,recipe,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24806,24807,"For example , I guess Taiwanese people do n't know what is the Taiwanese ramen !",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,mod,1,False,True,False,False,False,False,False,False,False,True
24810,24811,"Today I have no classes at school , but I have a report that I have to do .",obl,correct,correct_a,correct_art,indef,spec,indef,report,abstr,abstr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24811,24812,"I 'm taking an English literature class , which is interested to me .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,class,concr,concr,mod,1,False,True,False,False,False,False,True,True,False,False
24812,24813,I like reading books when I have time : ),obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,books,concr,concr,no_mod,1,False,True,False,False,False,True,False,True,False,False
24813,24814,I like reading books when I have time : ),obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,time,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
24814,24815,"In the class , we are reading a book which is called `` A room with a view `` .",obl,correct,correct_the,correct_art,def,spec,situational,class,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24815,24816,"In the class , we are reading a book which is called `` A room with a view `` .",obl,correct,correct_a,correct_art,indef,nonspec,indef,book,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24817,24818,"The story seems old because they care about their social rank very much , but it 's a pretty good love story : )",obl,correct,correct_the,correct_art,def,spec,anaphoric,story,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
24819,24820,"This monday , I had an interview to a teacher at our university .",obl,correct,correct_a,correct_art,indef,spec,indef,teacher,concr,concr,no_mod,1,False,False,False,False,False,False,True,False,True,False
24820,24821,I asked the teacher `` Hoe come you came to Japan ? ``,obl,correct,correct_the,correct_art,def,spec,situational,teacher,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24822,24823,"I am planning to go abroad in a few months , so I would like to learn the phrases which can be useful , for example , at the airport , the hotel , and the restaurant etc . . .",obl,correct,correct_the,correct_art,def,nonspec,explanatory,phrases,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
24826,24827,"Coz I want to communicate with people from other countries , reading books in English and travelling a lot in the world .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,True,False,False,True,False,False
24827,24828,"Coz I want to communicate with people from other countries , reading books in English and travelling a lot in the world .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,books,concr,concr,no_mod,1,False,True,False,False,True,True,False,True,False,False
24829,24830,"Coz I want to communicate with people from other countries , reading books in English and travelling a lot in the world .",obl,correct,correct_the,correct_art,def,nonspec,situational,world,concr,concr,no_mod,1,True,False,False,False,True,False,True,True,False,False
24831,24832,"There are I met new friends from Germany , Congo and India of course )",obl_om,correct,correct_zero,correct_om,indef,spec,indef,friends,concr,concr,mod,1,False,True,False,False,True,False,False,True,False,False
24832,24833,"Level of my English become better , but its just when I am talking wiyh people not from UK or USA .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,True,False,False,True,False,False
24834,24835,"Coz I cant understand them ) ) ) They have very strange accent ( joke : ) ) ) Actually its easy for me to talk with people from other countries , coz for them English is not their own language like for me )",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,True,False,False,True,False,False
24840,24841,"I despairingly pray for a listener whom I could spill out to ,",obl,correct,correct_a,correct_art,indef,nonspec,indef,listener,concr,concr,no_mod,1,False,False,False,True,False,False,True,True,False,False
24850,24851,Maruyama river is located at the northern area of Hyogo prefecture .,obl,correct,correct_the,correct_art,def,spec,explanatory,area,abstr,abstr,mod,1,True,False,False,False,False,False,True,True,False,False
24851,24852,When I started jogging there I found an interesting sign on the road .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,sign,concr,concr,mod,1,False,True,False,False,False,False,True,True,False,False
24852,24853,When I started jogging there I found an interesting sign on the road .,obl,correct,correct_the,correct_art,def,spec,situational,road,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24855,24856,"First , at 1 kilometers point , it shows that `` 35 ~ 40 kilo calories , an orange 80 grams or 10 grams of caramels or a coup of coffee with sugar and milk , here is 1 kilometer from the starting point .",obl,correct,correct_the,correct_art,def,spec,situational,point,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24860,24861,"I have read it , but I like the movie than novel .",obl,correct,correct_the,correct_art,def,spec,situational,movie,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24861,24862,"I have read it , but I like the movie than novel .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,novel,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
24863,24864,And hero and heroine 's talent as a performance were very good .,obl,error,omit_the,omit,indef,spec,indef,hero,concr,concr,no_mod,0,True,False,False,False,False,False,True,False,False,True
24864,24865,I was taught that wars are very terrible and cruel by this movie .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,wars,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,False,False,True
24865,24866,And people who live in modern times should know importance of peace .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,False,False,True
24867,24868,And people who live in modern times should know importance of peace .,obl,error,omit_the,omit,indef,nonspec,explanatory,importance,abstr,abstr,no_mod,0,True,False,False,False,False,False,False,True,False,False
24868,24869,Movies give something feelings for people .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,Movies,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,False,False,True
24870,24871,Movies give something feelings for people .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24871,24872,I like movies that have reality and society .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,movies,concr,concr,no_mod,1,False,True,False,False,False,True,False,True,False,False
24873,24874,"And I like funny movies , too .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,movies,concr,concr,mod,1,False,True,False,False,False,True,False,True,False,False
24874,24875,Because They make people happy .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24878,24879,The pub is filled with much English furniture and the mood is very quaint .,obl,correct,correct_the,correct_art,def,spec,situational,mood,abstr,abstr,no_mod,1,True,False,False,False,False,False,False,False,False,True
24879,24880,"Through the duration of this intern , it made me get into a good habit of regular schedule of working and rest .",obl,correct,correct_the,correct_art,def,spec,explanatory,duration,abstr,abstr,no_mod,1,True,False,False,True,False,False,False,True,False,False
24880,24881,"Through the duration of this intern , it made me get into a good habit of regular schedule of working and rest .",obl,error,omit_a,omit,indef,nonspec,indef,schedule,concr,concr,mod,0,False,False,False,True,False,False,True,True,False,False
24883,24884,"when I was tired up with work , I had a great sense of responsibility .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,work,abstr,abstr,no_mod,1,False,True,False,True,False,False,False,True,False,False
24884,24885,"when I was tired up with work , I had a great sense of responsibility .",obl,correct,correct_a,correct_art,indef,spec,indef,sense,abstr,abstr,mod,1,False,False,False,True,False,False,True,True,False,False
24885,24886,"Because The products we 're responsible for will be distributed directly to the agency , so we have to take charge of it very carefully , somethings we do n't even have time to go to the bathroom when the production line is running in busy",obl,correct,correct_the,correct_art,def,nonspec,anaphoric,agency,concr,concr,no_mod,1,True,False,False,True,False,False,True,True,False,False
24888,24889,"Because The products we 're responsible for will be distributed directly to the agency , so we have to take charge of it very carefully , somethings we do n't even have time to go to the bathroom when the production line is running in busy",obl,correct,correct_the,correct_art,def,nonspec,anaphoric,line,concr,concr,no_mod,1,True,False,False,True,False,False,True,False,False,True
24889,24890,"Plus , I found that the atmosphere was pretty harmonious among workers in the factory .",obl,correct,correct_the,correct_art,def,spec,situational,atmosphere,concr,concr,no_mod,1,True,False,False,True,False,False,True,False,False,True
24890,24891,"Plus , I found that the atmosphere was pretty harmonious among workers in the factory .",obl,error,omit_the,omit,indef,spec,indef,workers,concr,concr,no_mod,0,True,False,False,True,False,False,False,True,False,False
24891,24892,"After work , there are plenty of activities for the workers to relax themselves .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,work,abstr,abstr,no_mod,1,False,True,False,True,False,False,False,True,False,False
24893,24894,"After work , there are plenty of activities for the workers to relax themselves .",obl,correct,correct_the,correct_art,def,nonspec,situational,workers,concr,concr,no_mod,1,True,False,False,True,False,False,False,False,False,True
24894,24895,"What makes us surprised is that the workers play the teamworks so well , even they are older than us , but we had to admit that they 're still young at heart , they 're really active and energetic .",obl,correct,correct_the,correct_art,def,spec,situational,workers,concr,concr,no_mod,1,True,False,False,True,False,False,False,False,False,True
24901,24902,"and if native speakers of those languages should call me , in their native tongue . . .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,speakers,concr,concr,mod,1,False,True,False,False,False,True,False,False,False,True
24902,24903,The siniors sometimes link daily things to technical terms .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,things,abstr,abstr,mod,1,False,True,False,False,False,False,False,True,False,False
24903,24904,The siniors sometimes link daily things to technical terms .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,terms,abstr,abstr,mod,1,False,True,False,False,False,False,False,True,False,False
24905,24906,"For instance , when a guy was bashful while he was talking about his girlfriend , the others hooted at him like . . . . .",obl,correct,correct_a,correct_art,indef,nonspec,indef,guy,concr,concr,no_mod,1,False,False,False,False,False,False,True,False,False,True
24907,24908,Then the guy retorted like . . .,obl,correct,correct_the,correct_art,def,spec,anaphoric,guy,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
24908,24909,I want to improve my English because I like talking with people ; girl particular .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24910,24911,"I also use skype , if you are a native - English speaker , please feel free to contact me !",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,skype,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24913,24914,"But I have not yet to get a part time job , but I intend to get one in about 2 months .",obl,correct,correct_a,correct_art,indef,nonspec,indef,job,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
24915,24916,"But to tell you the truth , I want to be on friendly terms with you from the bottom of my heart as much .",obl,correct,correct_the,correct_art,def,spec,situational,truth,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
24920,24921,I guess it 's due to bad weather .,obl,error,omit_the,omit,indef,spec,indef,weather,concr,concr,mod,0,True,False,False,False,False,False,True,True,False,False
24927,24928,"I have to reduce weight , so I have to work hard for exercising !",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,weight,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
24932,24933,"If you pay all your attention to things which are meant to fail or if you easily give up things on which you have spent a lot of time and energy , you will get nothing in the end .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,things,abstr,abstr,no_mod,1,False,True,False,True,False,False,False,True,False,False
24933,24934,"If you pay all your attention to things which are meant to fail or if you easily give up things on which you have spent a lot of time and energy , you will get nothing in the end .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,things,abstr,abstr,no_mod,1,False,True,False,True,False,False,False,True,False,False
24937,24938,"I want to keep slim , but I ca n't keep off the lure of food .",obl,correct,correct_the,correct_art,def,spec,explanatory,lure,concr,concr,no_mod,1,True,False,False,True,False,False,False,True,False,False
24939,24940,So many people in the food stall that there hav n't an empty table .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,table,concr,concr,mod,1,False,True,False,True,False,False,True,False,False,True
24940,24941,"Soon , we got a table and ordered dishes .",obl,correct,correct_a,correct_art,indef,spec,indef,table,concr,concr,no_mod,1,False,False,False,True,False,False,True,True,False,False
24942,24943,"I tasted some , the taste is interesting _ a little hot , and a little sweet .",obl,correct,correct_the,correct_art,def,spec,situational,taste,concr,concr,no_mod,1,True,False,False,True,False,False,True,False,False,True
24946,24947,"The wing was eleborate and delicate so it seemed there was no strap on her shoulder , and it looked real .",obl,correct,correct_the,correct_art,def,spec,situational,wing,concr,concr,no_mod,1,True,False,True,False,False,False,True,False,False,True
24949,24950,"I thought a student majoring design was wearing her own costume to test on the way to her school but , uhh , she passed the school and was walking toward the subway station like me .",obl,correct,correct_the,correct_art,def,spec,situational,way,abstr,abstr,no_mod,1,True,False,True,False,False,False,True,True,False,False
